City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Vaini,TO,-21.2,-175.2,82.56,83,40,9.22,scattered clouds
69,Sitka,US,57.0531,-135.33,37.29,75,100,0.0,light rain
70,Mokhsogollokh,RU,61.4681,128.9203,-24.72,100,99,1.14,overcast clouds
71,Port Hedland,AU,-20.3167,118.5667,84.25,74,3,10.36,clear sky
72,Seddon,AU,-37.8068,144.8916,76.77,64,0,10.36,clear sky
73,Luz,BR,-19.8014,-45.6856,73.94,86,38,4.0,scattered clouds
74,Morondava,MG,-20.2833,44.2833,79.7,84,88,1.28,light rain
75,Acapulco,MX,16.8634,-99.8901,87.62,62,20,8.05,few clouds
76,Los Algarrobos,PA,8.5,-82.4333,89.46,51,20,9.22,few clouds
77,Beipiao,CN,41.7919,120.7792,8.55,84,100,14.12,overcast clouds
78,College,US,64.8569,-147.8028,14.79,82,100,0.0,light snow
79,La Ronge,CA,55.1001,-105.2842,8.85,66,0,10.36,clear sky
80,Kalengwa,ZM,-13.4659,25.0027,62.64,94,56,3.94,broken clouds
81,Shiyan,CN,32.6475,110.7781,38.98,79,36,1.74,scattered clouds
82,Samarai,PG,-10.6167,150.6667,80.71,74,36,5.61,scattered clouds
83,Taltal,CL,-25.4,-70.4833,71.24,68,17,7.29,few clouds
84,Olinda,BR,-8.0089,-34.8553,83.93,70,75,8.05,broken clouds
85,Saskylakh,RU,71.9167,114.0833,-17.19,87,28,2.98,scattered clouds
86,Upernavik,GL,72.7868,-56.1549,-6.74,97,100,13.49,overcast clouds
87,Torbay,CA,47.6666,-52.7314,40.57,66,75,24.16,broken clouds
88,Norman Wells,CA,65.282,-126.8329,-11.16,64,75,9.22,broken clouds
89,Nikolskoye,RU,59.7035,30.7861,33.87,89,100,13.02,overcast clouds
90,Lasem,ID,-6.6922,111.4527,74.86,94,100,5.12,overcast clouds
91,Victoria,HK,22.2855,114.1577,61.25,87,100,8.99,overcast clouds
92,Saint George,US,37.1041,-113.5841,70.54,16,0,1.99,clear sky
93,Husavik,IS,66.0449,-17.3389,-2.29,79,65,14.0,broken clouds
94,Lady Lake,US,28.9175,-81.9229,73.71,68,75,10.36,broken clouds
95,Xucheng,CN,20.35,110.1288,61.5,85,99,10.31,overcast clouds
96,Porto Tolle,IT,44.9497,12.3245,43.0,60,10,3.76,clear sky
97,Mashhad,IR,36.297,59.6062,44.74,61,0,20.71,clear sky
98,Ilhabela,BR,-23.7781,-45.3581,76.21,85,59,7.09,broken clouds
99,Faanui,PF,-16.4833,-151.75,80.71,74,100,14.92,light rain
100,Korla,CN,41.7597,86.1469,28.92,46,0,4.76,clear sky
101,Abu Samrah,SY,35.3029,37.1841,49.59,65,0,6.93,clear sky
102,Matara,LK,5.9485,80.5353,73.96,87,99,9.55,overcast clouds
103,Carnarvon,AU,-24.8667,113.6333,75.27,88,3,3.44,clear sky
104,Saldanha,ZA,-33.0117,17.9442,69.85,92,0,21.39,clear sky
105,Dikson,RU,73.5069,80.5464,-4.38,87,100,24.92,overcast clouds
106,Halmstad,SE,56.6745,12.8568,39.54,87,100,13.8,overcast clouds
107,Jinchang,CN,38.4953,102.1739,22.1,67,64,4.47,broken clouds
108,Bubaque,GW,11.2833,-15.8333,78.3,71,3,13.98,clear sky
109,Kodiak,US,57.79,-152.4072,36.91,70,0,0.0,clear sky
110,Provideniya,RU,64.3833,-173.3,-5.69,65,0,4.47,clear sky
111,Tual,ID,-5.6667,132.75,80.87,77,99,8.34,overcast clouds
112,Port Alfred,ZA,-33.5906,26.891,72.36,85,89,9.91,overcast clouds
113,Bredasdorp,ZA,-34.5322,20.0403,67.32,77,95,12.66,light rain
114,Vao,NC,-22.6667,167.4833,79.7,85,100,7.63,overcast clouds
115,Ahuimanu,US,21.4447,-157.8378,78.51,67,20,12.66,few clouds
116,Boo,SE,59.3333,18.2833,39.18,86,75,11.5,broken clouds
117,Jacareacanga,BR,-6.2222,-57.7528,79.68,95,82,0.94,broken clouds
118,Kapaa,US,22.0752,-159.319,76.19,68,40,13.8,scattered clouds
119,Ancud,CL,-41.8697,-73.8203,80.22,73,17,5.48,few clouds
120,Half Moon Bay,US,37.4636,-122.4286,79.3,51,2,2.71,clear sky
121,Hasaki,JP,35.7333,140.8333,36.0,89,100,32.35,overcast clouds
122,Adrar,MR,20.5022,-10.0711,64.99,20,64,10.54,broken clouds
123,Qaanaaq,GL,77.484,-69.3632,-7.01,86,100,3.96,overcast clouds
124,Kaeo,NZ,-35.1,173.7833,64.33,89,86,5.37,overcast clouds
125,Linxia,CN,35.6003,103.2064,12.56,80,66,4.03,broken clouds
126,Coquimbo,CL,-29.9533,-71.3436,73.13,53,0,12.66,clear sky
127,Kavaratti,IN,10.5669,72.642,80.37,71,51,3.96,broken clouds
128,Lasa,IT,46.6166,10.7002,29.66,64,0,2.06,clear sky
129,Baishishan,CN,43.5833,127.5667,6.62,91,100,4.0,overcast clouds
130,Geraldton,AU,-28.7667,114.6,73.81,83,100,1.14,overcast clouds
131,Itoman,JP,26.1247,127.6694,64.42,94,75,24.16,moderate rain
132,Cherskiy,RU,68.75,161.3,-21.91,97,99,7.87,overcast clouds
133,Kodino,RU,63.7198,39.6447,19.33,92,100,8.81,snow
134,Sukhobuzimskoye,RU,56.5,93.2728,-16.31,100,8,3.27,clear sky
135,Santa Cruz,BO,-17.8,-63.1667,85.46,48,75,13.8,broken clouds
136,Christchurch,NZ,-43.5333,172.6333,57.0,86,75,8.05,broken clouds
